orden,sitios,codigo,fecha,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua,gobierno_local,sitio,latitud,longitud,Poblacion_partido,Personas_con_cloacas,Actividad_principal,"Agricultura, ganadería, caza y silvicultura",Pesca explotación de criaderos de peces y granjas piscícolas y servicios conexos,Explotación de minas y canteras,Industria Manufacturera,"Electricidad, gas y agua",Construcción,Servicios
22.0,Escollera de Propaneros,AV054,25/8/2021,2021.0,invierno,15.4,12.6,2.16,7.05,Ausencia ,Ausencia ,Ausencia ,Ausencia ,42000,1000,800,<2.0,2.3,0.65,0.71,4.2,32,22,<100,<0.005,<0.001,<0.010,<0.20,38,Extremadamente deteriorada,Avellaneda,Escollera de propaneros,-34.63,-58.328.339,367.554,289.059,"""Producción de electricidad, gas y agua""",3.0,3.0,3.0,2.0,1.0,5.0,6.0
22.0,Escollera de Propaneros,AV054,27/10/2021,2021.0,primavera,21.4,28,4.24,6.85,Ausencia,Ausencia,Ausencia,Ausencia,1000,100,190,<2.0,1,0.25,0.28,2.7,73,14,<100,<0.005,<0.001,0.00119,<0.20,53,Muy deteriorada,Avellaneda,Escollera de propaneros,-34.63,-58.328.339,367.554,289.059,"""Producción de electricidad, gas y agua""",3.0,3.0,3.0,2.0,1.0,5.0,6.0
25.0,Costa de Villa Domínico     ,AV055,24/2/2021,2021.0,verano,25.6,no se midió,2.46,6.97,Ausencia,Ausencia,Ausencia,Ausencia,1500,100,370,3.7,1.5,0.74,0.48,9.5,<30,34,<100,<5.0,<0.001,0,<0.15,47,Muy deteriorada,,,,,,,,,,,,,,
25.0,Costa de Villa Domínico     ,AV055,19/5/2021,2021.0,otoño,16.7,14.5,3.6,7.7,Ausencia,Ausencia,Ausencia,Ausencia,25000,6000,70,3.1,2.6,0.55,0.55,4.9,5,34,60,<100,<0.005,<0.001,<10.000,39,Extremadamente deteriorada,,,,,,,,,,,,,,
25.0,Costa de Villa Domínico     ,AV055,25/8/2021,2021.0,invierno,14.6,12.8,3.73,7.07,Ausencia ,Ausencia ,Ausencia ,Ausencia ,3000,1500,300,<2.0,3.1,0.75,0.7,10,32,10,<100,<0.005,<0.001,<0.010,<0.20,46,Muy deteriorada,,,,,,,,,,,,,,
25.0,Costa de Villa Domínico     ,AV055,27/10/2021,2021.0,primavera,25,29.1,4.24,6.94,Ausencia,Ausencia,Ausencia,Ausencia,6000,200,100,2.2,0.4,0.36,0.41,3.7,37,12,<100,<0.005,<0.001,0.00831,<0.20,47,Muy deteriorada,,,,,,,,,,,,,,
39.0,Playa La Bagliardi,BS091,24/2/2021,2021.0,verano,20,26,5.09,7.43,Ausencia,Ausencia,Ausencia,Presencia,1000,360,300,3.5,5.4,1.4,1.1,3.9,73,18,<100,<5.0,<0.001,0.005,<0.15,42,Extremadamente deteriorada,Berisso,Playa La Bagliardi,-34.873.061,-57.810.561,100.930,47.630,"""Industria Manufacturera""",,,,,,,
39.0,Playa La Bagliardi,BS091,19/5/2021,2021.0,otoño,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,Berisso,Playa La Bagliardi,-34.873.061,-57.810.561,100.930,47.630,"""Industria Manufacturera""",,,,,,,
39.0,Playa La Bagliardi,BS091,25/8/2021,2021.0,invierno,10,12,6.84,8.14,Presencia,Presencia,Presencia,Presencia,100000,30000,6200,<2.0,13,1.5,1.5,5.5,125,8.7,<100,<0.005,<0.001,<0.010,<0.20,28,Extremadamente deteriorada,Berisso,Playa La Bagliardi,-34.873.061,-57.810.561,100.930,47.630,"""Industria Manufacturera""",,,,,,,
40.0,Playa La Bagliardi,BS091,27/10/2021,2021.0,primavera,11,19,5.7,7.78,Ausencia,Presencia,Ausencia,Presencia,10000,700,300,<2.0,0.9,1.1,1.2,3,50,4.9,<100,<0.005,<0.001,<0.01,<0.20,39,Extremadamente deteriorada,Berisso,Playa La Bagliardi,-34.873.061,-57.810.561,100.930,47.630,"""Industria Manufacturera""",,,,,,,
37.0,Balneario Palo Blanco,BS092,24/2/2021,2021.0,verano,21,27,4.91,7.4,Ausencia,Ausencia,Ausencia,Ausencia,1800,1500,480,3.1,2,0.77,0.47,4.7,<30,16,<100,<5.0,<0.001,0.007,<0.15,43,Extremadamente deteriorada,Berisso,Balneario Palo Blanco,-34.855.808,-57.838.144,100.930,47.630,"""Industria Manufacturera""",,,,,,,
37.0,Balneario Palo Blanco,BS092,19/5/2021,2021.0,otoño,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,Berisso,Balneario Palo Blanco,-34.855.808,-57.838.144,100.930,47.630,"""Industria Manufacturera""",,,,,,,
37.0,Balneario Palo Blanco,BS092,25/8/2021,2021.0,invierno,11.9,4,12.61,8.95,Ausencia,Ausencia,Ausencia,Ausencia,1600,100,160,3.9,1.8,<0.20,0.11,3.6,<30,23,<100,<0.005,<0.001,<0.010,<0.20,60,Muy deteriorada,Berisso,Balneario Palo Blanco,-34.855.808,-57.838.144,100.930,47.630,"""Industria Manufacturera""",,,,,,,
38.0,Balneario Palo Blanco,BS092,27/10/2021,2021.0,primavera,10,19,8.2,8.01,Ausencia,Ausencia,Ausencia,Presencia,40000,1000,12,3.5,3.1,1.1,0.25,6.8,62,14,<100,<0.005,<0.001,0.06289,<0.20,38,Extremadamente deteriorada,Berisso,Balneario Palo Blanco,-34.855.808,-57.838.144,100.930,47.630,"""Industria Manufacturera""",,,,,,,
41.0,Playa La Balandra,BS093,24/2/2021,2021.0,verano,20,26,4.89,7.75,Ausencia,Ausencia,Ausencia,Ausencia,1200,400,240,3.3,1.8,0.73,0.42,2.7,<30,5.3,<100,<5.0,<0.001,0.006,<0.15,46,Muy deteriorada,,,,,,,,,,,,,,
41.0,Playa La Balandra,BS093,19/5/2021,2021.0,otoño,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,,,,,,,,,,,,,,
41.0,Playa La Balandra,BS093,25/8/2021,2021.0,invierno,7,9,9.99,9.22,Ausencia,ausenca,Ausencia,Ausencia,300,20,20,<2.0,1.3,0.33,0.23,5,<30,75,<100,<0.005,<0.001,<0.010,<0.20,46,Muy deteriorada,,,,,,,,,,,,,,
42.0,Playa La Balandra,BS093,25/8/2021,2021.0,invierno,7,8,10.7,9.19,Ausencia,Ausencia,Ausencia,Ausencia,4200,80,240,<2.0,0.7,0.45,0.22,7.3,37,75,<100,<0.005,<0.001,<0.010,<0.20,43,Extremadamente deteriorada,,,,,,,,,,,,,,
42.0,Playa La Balandra,BS093,27/10/2021,2021.0,primavera,11,19,8.29,8.39,Ausencia,Presencia,Ausencia,Presencia,3600,170,2,3.9,0.11,<0.20,0.11,3,58,50,<100,<0.005,<0.001,0.08366,<0.20,49,Muy deteriorada,,,,,,,,,,,,,,
40.0,Balneario Municipal,BS094,24/2/2021,2021.0,verano,21,27,5.89,7.79,Ausencia,Ausencia,Ausencia,Ausencia,400,20,180,3.3,0.98,0.78,1.1,2.4,<30,210,<100,13,0.0017,0.011,<0.15,49,Muy deteriorada,,,,,,,,,,,,,,
40.0,Balneario Municipal,BS094,19/5/2021,2021.0,otoño,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,,,,,,,,,,,,,,
40.0,Balneario Municipal,BS094,25/8/2021,2021.0,invierno,8,10,9.7,8.04,Ausencia,Ausencia,Ausencia,Ausencia,15000,1500,1000,4.2,0.2,0.56,0.44,7,<30,29,<100,<0.005,<0.001,<0.010,<0.20,41,Extremadamente deteriorada,,,,,,,,,,,,,,
41.0,Balneario Municipal,BS094,27/10/2021,2021.0,primavera,11,19,7.58,8.21,Ausencia,Ausencia,Ausencia,Ausencia,110,290,15,4.1,0.41,0.31,0.27,2.5,57,70,<100,<0.005,<0.001,0.04153,<0.20,62,Muy deteriorada,,,,,,,,,,,,,,
38.0,Diagonal 66 (descarga cloaca),BS095,24/2/2021,2021.0,verano,24,27,4.28,7.47,Presencia,Presencia,Presencia,Presencia,80000,1500,480,4,5.3,1.9,1.2,6.3,45,5.9,<100,<5.0,<0.001,0.005,<0.15,26,Extremadamente deteriorada,,,,,,,,,,,,,,
38.0,Diagonal 66 (descarga cloaca),BS095,19/5/2021,2021.0,otoño,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,,,,,,,,,,,,,,
38.0,Diagonal 66 (descarga cloaca),BS095,25/8/2021,2021.0,invierno,10,12,6.32,7.77,Ausencia ,Ausencia,Ausencia,Ausencia,80000,10000,3700,<2.0,9.3,1.3,1.2,6.9,35,10,<100,<0.005,<0.010,<0.010,<0.20,37,Extremadamente deteriorada,,,,,,,,,,,,,,
39.0,Diagonal 66 (descarga cloaca),BS095,27/10/2021,2021.0,primavera,10,19,5.79,7.71,Presencia,Presencia,Presencia,Presencia,140000,12000,28000,<2.0,14,1.6,1.5,11,55,7,<100,<0.005,<0.001,0.02551,<0.20,26,Extremadamente deteriorada,,,,,,,,,,,,,,
31.0,Puerto Trinidad calle 47,BZ077,24/2/2021,2021.0,verano,25.5,26,7.51,7.65,Ausencia,Ausencia,Ausencia,Ausencia,3000,2800,3000,6.2,0.54,0.64,0.94,no se midió,55,120,<100,44,<0.001,0.019,<0.15,35,Extremadamente deteriorada,,,,,,,,,,,,,,
31.0,Puerto Trinidad calle 47,BZ077,19/5/2021,2021.0,otoño,13,16,12.39,9.23,Ausencia,Ausencia,Ausencia,Ausencia,29000,1000,800,5.9,0.24,0.22,0.22,4.2,9.8,33,75,<100,<0.005,<0.001,<10.000,41,Extremadamente deteriorada,,,,,,,,,,,,,,
31.0,Puerto Trinidad calle 47,BZ077,25/8/2021,2021.0,invierno,13,12.5,11.82,8.8,Ausencia,Ausencia,Ausencia,Ausencia,1000,100,300,3.5,0.7,0.22,0.2,7.7,125,12,<100,<0.005,<0.001,<0.010,<0.20,61,Muy deteriorada,,,,,,,,,,,,,,
31.0,Puerto Trinidad calle 47,BZ077,27/10/2021,2021.0,primavera,26,26,12.47,9.07,Ausencia,Ausencia,Ausencia,Ausencia,800,200,30,5.9,0.5,0.36,0.25,no se midió,52,27,<100,<0.005,<0.001,0.09909,<0.20,52,Muy deteriorada,,,,,,,,,,,,,,
30.0,Calle 14 y Costa - Salida cloaca,BZ078,24/2/2021,2021.0,verano,no se midió,28.5,12.87,9.31,Presencia,Ausencia,Ausencia,Presencia,6000,5000,185,4,0.42,0.82,0.5,no se midió,59,75,<100,8.6,<0.001,0.053,<0.15,33,Extremadamente deteriorada,Berazategui,Calle 14 y costa - salida cloaca,-34.744.169,-58.177.231,358.712,267.760,"""Agricultura, ganadería, caza y silvicultura""",1.0,2.0,0.0,7.0,6.0,6.0,3.0
30.0,Calle 14 y Costa - Salida cloaca,BZ078,19/5/2021,2021.0,otoño,13,18,15.2,9.66,Ausencia,Ausencia,Ausencia,Ausencia,20000,1000,500,4.3,0.08,0.22,0.22,3,9.5,40,65,<100,<0.005,<0.001,<10.000,42,Extremadamente deteriorada,Berazategui,Calle 14 y costa - salida cloaca,-34.744.169,-58.177.231,358.712,267.760,"""Agricultura, ganadería, caza y silvicultura""",1.0,2.0,0.0,7.0,6.0,6.0,3.0
30.0,Calle 14 y Costa - Salida cloaca,BZ078,25/8/2021,2021.0,invierno,12,16,10.13,8.63,Ausencia,Ausencia,Ausencia,Ausencia,10000,500,100,4.1,0.6,0.29,0.24,7.1,64,16,<100,<0.005,<0.001,<0.010,<0.20,45,Muy deteriorada,Berazategui,Calle 14 y costa - salida cloaca,-34.744.169,-58.177.231,358.712,267.760,"""Agricultura, ganadería, caza y silvicultura""",1.0,2.0,0.0,7.0,6.0,6.0,3.0
30.0,Calle 14 y Costa - Salida cloaca,BZ078,27/10/2021,2021.0,primavera,27,27.5,12.65,9.18,Ausencia,Ausencia,Ausencia,Ausencia,6000,1400,100,5.7,0.89,0.75,0.59,no se midió,140,70,<100,<0.005,<0.001,0.21265,<0.20,39,Extremadamente deteriorada,Berazategui,Calle 14 y costa - salida cloaca,-34.744.169,-58.177.231,358.712,267.760,"""Agricultura, ganadería, caza y silvicultura""",1.0,2.0,0.0,7.0,6.0,6.0,3.0
32.0,Costanera Hudson Calle 63,BZ080,24/2/2021,2021.0,verano,23.5,26,9.05,7.87,Ausencia,Ausencia,Ausencia,Ausencia,2250,500,185,4.1,0.15,0.58,0.59,6,50,50,<100,7.8,<0.001,0.061,<0.15,51,Muy deteriorada,Berazategui,Costanera Hudson calle 63,-34.753,-58.108.281,358.712,267.760,"""Agricultura, ganadería, caza y silvicultura""",1.0,2.0,0.0,7.0,6.0,6.0,3.0
32.0,Costanera Hudson Calle 63,BZ080,19/5/2021,2021.0,otoño,11,15,12.67,9.44,Ausencia,Ausencia,Ausencia,Ausencia,5000,800,600,3.2,0.1,0.75,0.75,3.1,11,43,80,<100,0.008,<0.001,<10.000,44,Extremadamente deteriorada,Berazategui,Costanera Hudson calle 63,-34.753,-58.108.281,358.712,267.760,"""Agricultura, ganadería, caza y silvicultura""",1.0,2.0,0.0,7.0,6.0,6.0,3.0
32.0,Costanera Hudson Calle 63,BZ080,25/8/2021,2021.0,invierno,12,10,10.16,9.36,Ausencia,Ausencia,Ausencia,Ausencia,10000,1000,100,3.4,0.7,<0.20,0.15,9.4,62,21,<100,0.0052,<0.001,0.221,<0.20,43,Extremadamente deteriorada,Berazategui,Costanera Hudson calle 63,-34.753,-58.108.281,358.712,267.760,"""Agricultura, ganadería, caza y silvicultura""",1.0,2.0,0.0,7.0,6.0,6.0,3.0
